id,time,thumb,index_finger,index_knuckle,middle_finger,middle_knuckle,ring_finger,ring_knuckle,pinky_finger,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
91,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
92,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
93,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
94,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
95,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
96,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
97,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
98,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
99,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
100,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
101,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
102,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
103,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
104,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
105,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
106,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
107,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
108,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
109,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
110,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
111,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
112,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
113,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
114,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
115,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
116,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
117,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
118,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
119,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
120,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
121,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
122,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
123,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
124,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
125,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
126,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
127,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
128,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
129,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
130,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
131,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
132,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
133,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
134,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
135,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
136,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
137,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
138,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
139,1.51866E+12,0,0,0,0,0,0,0,0,22640,-8480,-13748,32767,-1,-1
